clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 141616	137.208	32.26	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141618	139.255	32.23	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141620	141.305	32.2	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141622	143.35	32.18	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141624	145.4	32.15	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141626	147.448	32.14	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141629	149.497	32.11	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141631	151.541	32.08	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141633	153.593	32.07	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141635	155.64	32.04	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141637	157.688	32.02	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141639	159.736	31.99	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141641	161.783	31.96	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141643	163.831	31.95	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141645	165.879	31.92	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141647	167.926	31.91	31.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141649	169.974	31.88	31.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141651	172.021	31.85	31.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141653	174.069	31.83	31.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141655	176.117	31.81	31.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141657	178.159	31.79	31.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141659	180.208	31.76	31.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141701	182.289	31.73	31.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141703	184.338	31.72	31.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141705	186.386	31.69	31.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141707	188.431	31.68	31.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141710	190.477	31.65	31.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141712	192.528	31.62	31.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141714	194.572	31.6	31.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141716	196.619	31.58	31.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141718	198.668	31.56	31.48	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141720	200.716	31.53	31.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141722	202.767	31.5	31.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141724	204.815	31.49	31.46	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141726	206.862	31.46	31.46	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141728	208.91	31.44	31.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141730	210.958	31.41	31.44	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141732	213.005	31.38	31.44	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141734	215.053	31.37	31.43	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141736	217.1	31.34	31.43	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141738	219.147	31.33	31.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141740	221.195	31.3	31.41	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141742	223.243	31.27	31.41	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141744	225.29	31.25	31.4	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141746	227.338	31.23	31.39	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141748	229.386	31.21	31.39	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141750	231.433	31.18	31.38	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141753	233.481	31.15	31.37	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141755	235.529	31.14	31.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141757	237.576	31.11	31.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141759	239.624	31.1	31.35	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141801	241.669	31.07	31.34	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141803	243.719	31.04	31.34	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141805	245.766	31.02	31.33	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141807	247.809	30.99	31.32	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141809	249.862	30.98	31.31	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141811	251.906	30.95	31.3	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141813	253.957	30.92	31.29	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141815	256.005	30.91	31.28	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141817	258.052	30.88	31.28	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141819	260.1	30.87	31.27	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141821	262.143	30.84	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141823	264.19	30.81	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141825	266.242	30.79	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141827	268.285	30.76	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141829	270.338	30.75	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141831	272.385	30.72	31.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141833	274.433	30.69	31.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141836	276.48	30.67	31.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141838	278.528	30.65	31.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141840	280.576	30.63	31.18	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141842	282.623	30.6	31.16	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141844	284.666	30.57	31.16	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141846	286.718	30.56	31.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141848	288.767	30.53	31.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141850	290.813	30.51	31.13	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141852	292.861	30.48	31.12	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141854	294.909	30.45	31.12	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141856	296.956	30.43	31.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141858	299.004	30.4	31.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141900	301.051	30.39	31.08	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141902	303.097	30.36	31.06	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141904	305.143	30.33	31.06	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141906	307.191	30.32	31.04	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141908	309.242	30.29	31.04	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141910	311.284	30.27	31.03	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141912	313.337	30.24	31.02	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141914	315.384	30.21	31.01	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141916	317.432	30.2	30.99	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141919	319.48	30.17	30.99	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141921	321.527	30.16	30.98	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141923	323.575	30.13	30.97	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141925	325.617	30.1	30.95	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141927	327.67	30.08	30.94	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141929	329.713	30.05	30.93	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141931	331.765	30.04	30.92	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141933	333.813	30.01	30.91	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141935	335.861	29.98	30.9	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141937	337.908	29.97	30.88	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141939	339.955	29.94	30.88	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141941	342.003	29.92	30.86	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141943	344.051	29.89	30.86	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141945	346.098	29.87	30.84	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141947	348.141	29.85	30.82	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141949	350.193	29.82	30.82	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141951	352.241	29.81	30.81	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141953	354.283	29.78	30.8	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141955	356.337	29.75	30.78	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141957	358.384	29.74	30.77	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141959	360.432	29.71	30.76	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142002	362.478	29.7	30.74	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142004	364.527	29.67	30.74	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142006	366.575	29.64	30.72	30.0	1	0.0	0.0	0.5	0.0	0.0
