clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 134218	155.609	34.23	30.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134220	157.657	34.2	30.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134222	159.705	34.18	30.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134224	161.753	34.15	30.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134226	163.801	34.14	30.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134228	165.849	34.1	30.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134230	167.894	34.07	30.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134232	169.945	34.05	30.61	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134234	171.993	34.02	30.61	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134236	174.04	34.01	30.64	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134238	176.088	33.97	30.64	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134240	178.136	33.94	30.67	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134242	180.183	33.93	30.69	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134245	182.228	33.89	30.69	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134247	184.278	33.88	30.72	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134249	186.326	33.85	30.72	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134251	188.374	33.81	30.74	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134253	190.421	33.8	30.76	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134255	192.469	33.77	30.77	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134257	194.516	33.75	30.79	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134259	196.564	33.72	30.79	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134301	198.611	33.69	30.81	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134303	200.659	33.67	30.83	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134305	202.706	33.64	30.84	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134307	204.754	33.62	30.86	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134309	206.802	33.59	30.86	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134311	208.848	33.56	30.88	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134313	210.893	33.55	30.9	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134315	212.944	33.52	30.9	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134317	214.987	33.5	30.92	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134319	217.04	33.47	30.93	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134321	219.084	33.44	30.94	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134323	221.146	33.42	30.96	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134325	223.194	33.39	30.96	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134328	225.242	33.38	30.98	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134330	227.29	33.35	30.98	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134332	229.338	33.31	31.0	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134334	231.384	33.3	31.01	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134336	233.432	33.27	31.02	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134338	235.483	33.25	31.03	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134340	237.527	33.22	31.04	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134342	239.579	33.19	31.05	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134344	241.627	33.17	31.06	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134346	243.675	33.14	31.07	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134348	245.723	33.13	31.08	30.0	1	0.0	0.0	0.5	0.0	0.0
