clock	watch	T_int	T_ext	T_ref
20200713 233046	11.331	34.86	30.17	33.736
20200713 233048	13.459	34.82	30.17	33.724
20200713 233050	15.584	34.81	30.17	33.718
20200713 233052	17.714	34.77	30.17	33.7
20200713 233054	19.841	34.74	30.17	33.695
20200713 233056	21.967	34.72	30.17	33.683
20200713 233058	24.096	34.69	30.17	33.665
20200713 233101	26.224	34.65	30.17	33.654
20200713 233103	28.351	34.63	30.17	33.636
20200713 233105	30.479	34.6	30.17	33.624
20200713 233107	32.606	34.57	30.17	33.618
20200713 233109	34.734	34.55	30.17	33.601
20200713 233111	36.861	34.51	30.17	33.589
20200713 233113	38.989	34.48	30.16	33.577
20200713 233115	41.111	34.46	30.16	33.56
20200713 233118	43.238	34.43	30.19	33.548
20200713 233120	45.371	34.4	30.21	33.531
20200713 233122	47.499	34.38	30.16	33.513
20200713 233124	49.626	34.35	30.12	33.501
20200713 233126	51.753	34.31	30.04	33.495
20200713 233128	53.881	34.29	29.99	33.49
20200713 233130	56.009	34.26	29.96	33.466
20200713 233132	58.131	34.23	29.95	33.449
20200713 233135	60.258	34.21	29.97	33.443
20200713 233137	62.391	34.17	29.97	33.414
20200713 233139	64.514	34.14	29.98	33.402
20200713 233141	66.646	34.12	29.99	33.39
20200713 233143	68.772	34.09	29.99	33.373
20200713 233145	70.896	34.06	29.99	33.355
20200713 233147	73.028	34.04	30.0	33.343
20200713 233149	75.171	34.01	30.0	33.326
20200713 233152	77.299	33.97	30.01	33.308
20200713 233154	79.427	33.95	30.01	33.285
20200713 233156	81.57	33.92	30.01	33.273
20200713 233158	83.698	33.89	30.01	33.256
20200713 233200	85.825	33.87	30.01	33.238
20200713 233202	87.965	33.84	30.01	33.227
20200713 233204	90.096	33.8	30.01	33.215
20200713 233207	92.223	33.79	30.01	33.186
20200713 233209	94.366	33.75	30.01	33.174
20200713 233211	96.495	33.72	30.0	33.156
20200713 233213	98.622	33.7	29.99	33.139
20200713 233215	100.764	33.67	29.99	33.121
20200713 233217	102.893	33.63	29.98	33.11
20200713 233219	105.02	33.62	29.98	33.086
20200713 233221	107.147	33.58	29.98	33.069
20200713 233224	109.27	33.55	29.97	33.057
20200713 233226	111.401	33.53	29.96	33.045
20200713 233228	113.53	33.5	29.96	33.022
20200713 233230	115.657	33.47	29.95	33.004
20200713 233232	117.785	33.45	29.94	32.987
20200713 233234	119.913	33.42	29.94	32.969
20200713 233236	122.04	33.4	29.93	32.946
20200713 233238	124.164	33.37	29.92	32.934
20200713 233241	126.295	33.34	29.91	32.917
20200713 233243	128.418	33.32	29.9	32.899
20200713 233245	130.55	33.29	29.89	32.882
20200713 233247	132.678	33.25	29.89	32.864
20200713 233249	134.805	33.24	29.87	32.841
20200713 233251	136.93	33.2	29.85	32.829
20200713 233253	139.06	33.17	29.85	32.812
20200713 233256	141.184	33.15	29.83	32.788
20200713 233258	143.315	33.12	29.82	32.777
20200713 233300	145.443	33.09	29.82	32.753
20200713 233302	147.57	33.07	29.81	32.742
20200713 233304	149.698	33.04	29.8	32.718
20200713 233306	151.821	33.0	29.8	32.701
20200713 233308	153.953	32.99	29.79	32.683
20200713 233310	156.08	32.96	29.78	32.666
20200713 233313	158.202	32.92	29.77	32.648
20200713 233315	160.335	32.91	29.76	32.631
20200713 233317	162.462	32.87	29.76	32.613
20200713 233319	164.587	32.84	29.75	32.59
20200713 233321	166.716	32.82	29.74	32.572
20200713 233323	168.845	32.79	29.73	32.549
20200713 233325	170.973	32.76	29.71	32.537
20200713 233327	173.098	32.74	29.7	32.52
20200713 233330	175.228	32.71	29.7	32.496
20200713 233332	177.355	32.67	29.69	32.479
20200713 233334	179.483	32.66	29.68	32.461
20200713 233336	181.61	32.62	29.68	32.438
20200713 233338	183.738	32.59	29.67	32.415
20200713 233340	185.861	32.57	29.64	32.397
20200713 233342	187.99	32.54	29.64	32.38
20200713 233344	190.12	32.51	29.62	32.362
20200713 233347	192.247	32.49	29.6	32.345
20200713 233349	194.375	32.46	29.6	32.321
20200713 233351	196.501	32.42	29.58	32.304
20200713 233353	198.63	32.41	29.57	32.286
20200713 233355	200.757	32.37	29.56	32.263
20200713 233357	202.885	32.34	29.54	32.246
20200713 233359	205.01	32.32	29.53	32.228
20200713 233401	207.139	32.29	29.53	32.216
20200713 233404	209.265	32.26	29.51	32.193
20200713 233406	211.395	32.24	29.5	32.17
20200713 233408	213.523	32.21	29.5	32.152
20200713 233410	215.65	32.18	29.48	32.135
20200713 233412	217.776	32.16	29.48	32.111
20200713 233414	219.905	32.13	29.47	32.1
20200713 233416	222.032	32.09	29.46	32.071
20200713 233418	224.156	32.08	29.45	32.059
20200713 233421	226.288	32.05	29.45	32.03
20200713 233423	228.415	32.01	29.44	32.012
20200713 233425	230.543	32.0	29.43	31.995
20200713 233427	232.67	31.96	29.43	31.977
20200713 233429	234.795	31.93	29.41	31.954
20200713 233431	236.925	31.91	29.4	31.936
20200713 233433	239.066	31.88	29.4	31.913
20200713 233436	241.192	31.85	29.39	31.896
20200713 233438	243.318	31.83	29.38	31.878
20200713 233440	245.451	31.8	29.37	31.855
20200713 233442	247.578	31.77	29.35	31.832
20200713 233444	249.706	31.76	29.33	31.808
20200713 233446	251.83	31.72	29.33	31.802
20200713 233448	253.958	31.69	29.31	31.773
20200713 233450	256.088	31.67	29.3	31.756
20200713 233453	258.216	31.64	29.29	31.738
20200713 233455	260.339	31.61	29.28	31.715
20200713 233457	262.471	31.59	29.26	31.697
20200713 233459	264.595	31.56	29.26	31.674
20200713 233501	266.726	31.53	29.25	31.651
20200713 233503	268.853	31.51	29.24	31.639
20200713 233505	270.981	31.48	29.23	31.616
20200713 233507	273.107	31.45	29.22	31.593
20200713 233510	275.236	31.43	29.21	31.575
20200713 233512	277.363	31.4	29.2	31.552
20200713 233514	279.491	31.37	29.19	31.528
20200713 233516	281.618	31.35	29.18	31.511
20200713 233518	283.745	31.32	29.18	31.488
20200713 233520	285.873	31.31	29.17	31.47
20200713 233522	287.997	31.27	29.15	31.453
20200713 233524	290.128	31.24	29.15	31.435
20200713 233527	292.25	31.22	29.13	31.406
20200713 233529	294.382	31.19	29.11	31.394
20200713 233531	296.51	31.16	29.11	31.371
20200713 233533	298.638	31.14	29.1	31.342
20200713 233535	300.765	31.11	29.09	31.319
20200713 233537	302.893	31.08	29.08	31.295
20200713 233539	305.02	31.07	29.07	31.272
20200713 233541	307.16	31.03	29.06	31.266
20200713 233544	309.287	31.0	29.06	31.272
20200713 233546	311.421	30.98	29.05	31.255
20200713 233548	313.558	30.95	29.03	31.22
20200713 233550	315.689	30.92	29.02	31.202
20200713 233552	317.82	30.91	29.0	31.185
20200713 233554	319.963	30.87	28.98	31.156
20200713 233556	322.09	30.84	28.97	31.132
20200713 233559	324.218	30.83	28.96	31.115
20200713 233601	326.356	30.8	28.95	31.091
20200713 233603	328.485	30.76	28.94	31.068
20200713 233605	330.612	30.75	28.93	31.045
20200713 233607	332.76	30.72	28.91	31.027
20200713 233609	334.887	30.68	28.91	31.004
20200713 233611	337.015	30.67	28.9	30.987
20200713 233613	339.157	30.64	28.89	30.969
20200713 233616	341.286	30.61	28.89	30.946
20200713 233618	343.413	30.59	28.87	30.928
20200713 233620	345.541	30.56	28.84	30.905
20200713 233622	347.668	30.53	28.84	30.888
20200713 233624	349.796	30.51	28.82	30.864
20200713 233626	351.923	30.48	28.81	30.841
20200713 233628	354.051	30.45	28.81	30.824
20200713 233630	356.176	30.43	28.8	30.8
20200713 233633	358.306	30.4	28.79	30.783
20200713 233635	360.43	30.37	28.79	30.759
20200713 233637	362.561	30.35	28.79	30.742
20200713 233639	364.688	30.32	28.78	30.719
20200713 233641	366.811	30.29	28.77	30.701
20200713 233643	368.943	30.28	28.75	30.684
20200713 233645	371.07	30.24	28.75	30.66
20200713 233648	373.192	30.21	28.72	30.643
20200713 233650	375.326	30.2	28.71	30.614
20200713 233652	377.453	30.17	28.7	30.602
20200713 233654	379.578	30.13	28.69	30.573
20200713 233656	381.724	30.12	28.69	30.55
20200713 233658	383.852	30.09	28.69	30.532
20200713 233700	385.979	30.06	28.69	30.515
20200713 233702	388.125	30.04	28.68	30.492
20200713 233705	390.25	30.01	28.68	30.474
20200713 233707	392.378	29.98	28.66	30.451
20200713 233709	394.521	29.96	28.64	30.433
20200713 233711	396.649	29.93	28.64	30.416
20200713 233713	398.776	29.9	28.62	30.393
20200713 233715	400.92	29.89	28.6	30.369
20200713 233717	403.045	29.86	28.6	30.346
20200713 233719	405.168	29.83	28.58	30.328
20200713 233722	407.318	29.81	28.57	30.305
20200713 233724	409.446	29.78	28.57	30.288
20200713 233726	411.566	29.75	28.55	30.264
20200713 233728	413.71	29.74	28.54	30.247
20200713 233730	415.844	29.71	28.53	30.218
20200713 233732	417.972	29.67	28.51	30.2
20200713 233734	420.115	29.66	28.5	30.177
20200713 233737	422.243	29.63	28.49	30.16
20200713 233739	424.37	29.59	28.47	30.142
20200713 233741	426.498	29.58	28.46	30.113
20200713 233743	428.625	29.55	28.45	30.101
20200713 233745	430.755	29.52	28.43	30.078
20200713 233747	432.88	29.5	28.41	30.061
20200713 233749	435.005	29.47	28.41	30.037
20200713 233751	437.136	29.44	28.39	30.014
20200713 233754	439.256	29.43	28.37	29.997
20200713 233756	441.384	29.4	28.37	29.979
20200713 233758	443.517	29.37	28.35	29.956
20200713 233800	445.645	29.35	28.33	29.932
20200713 233802	447.773	29.32	28.33	29.915
20200713 233804	449.896	29.29	28.32	29.897
20200713 233806	452.028	29.28	28.3	29.868
20200713 233808	454.154	29.25	28.3	29.851
20200713 233811	456.275	29.22	28.28	29.828
20200713 233813	458.405	29.2	28.25	29.81
20200713 233815	460.535	29.17	28.25	29.787
20200713 233817	462.681	29.14	28.23	29.775
20200713 233819	464.804	29.12	28.21	29.746
20200713 233821	466.936	29.09	28.2	29.723
20200713 233823	469.079	29.06	28.18	29.705
20200713 233826	471.2	29.04	28.17	29.688
20200713 233828	473.335	29.01	28.17	29.659
20200713 233830	475.478	28.98	28.16	29.647
20200713 233832	477.604	28.97	28.14	29.624
20200713 233834	479.733	28.93	28.14	29.6
20200713 233836	481.876	28.9	28.12	29.583
20200713 233838	484.004	28.89	28.1	29.554
20200713 233840	486.131	28.86	28.09	29.536
20200713 233843	488.254	28.83	28.07	29.519
20200713 233845	490.386	28.81	28.05	29.496
20200713 233847	492.509	28.78	28.05	29.478
20200713 233849	494.642	28.75	28.03	29.455
20200713 233851	496.769	28.73	28.01	29.431
20200713 233853	498.897	28.7	28.01	29.408
20200713 233855	501.024	28.67	27.99	29.391
20200713 233857	503.145	28.65	27.98	29.367
20200713 233900	505.274	28.62	27.97	29.35
20200713 233902	507.403	28.59	27.95	29.327
20200713 233904	509.534	28.58	27.94	29.303
20200713 233906	511.661	28.55	27.93	29.286
20200713 233908	513.789	28.51	27.91	29.268
20200713 233910	515.91	28.5	27.9	29.239
20200713 233912	518.039	28.47	27.89	29.216
20200713 233914	520.165	28.44	27.88	29.198
20200713 233917	522.293	28.42	27.86	29.181
20200713 233919	524.435	28.39	27.86	29.158
20200713 233921	526.57	28.36	27.84	29.14
20200713 233923	528.697	28.35	27.83	29.111
20200713 233925	530.84	28.32	27.83	29.088
20200713 233927	532.968	28.29	27.81	29.064
20200713 233929	535.091	28.27	27.79	29.053
20200713 233932	537.234	28.24	27.79	29.047
20200713 233934	539.367	28.21	27.77	29.029
20200713 233936	541.494	28.2	27.76	28.994
20200713 233938	543.638	28.17	27.76	28.977
20200713 233940	545.761	28.14	27.75	28.954
20200713 233942	547.892	28.12	27.73	28.93
20200713 233944	550.03	28.09	27.73	28.907
20200713 233946	552.163	28.06	27.72	28.884
20200713 233949	554.291	28.05	27.72	28.866
20200713 233951	556.434	28.02	27.72	28.843
20200713 233953	558.557	27.99	27.71	28.82
20200713 233955	560.69	27.97	27.7	28.808
20200713 233957	562.831	27.94	27.7	28.785
20200713 233959	564.953	27.91	27.68	28.761
20200713 234001	567.088	27.9	27.66	28.744
20200713 234004	569.231	27.87	27.66	28.72
20200713 234006	571.359	27.84	27.64	28.691
20200713 234008	573.486	27.82	27.62	28.68
20200713 234010	575.614	27.79	27.62	28.656
20200713 234012	577.741	27.76	27.6	28.633
20200713 234014	579.869	27.75	27.59	28.615
20200713 234016	581.996	27.72	27.59	28.592
20200713 234018	584.122	27.69	27.57	28.569
20200713 234021	586.252	27.67	27.55	28.551
20200713 234023	588.376	27.64	27.55	28.528
20200713 234025	590.509	27.63	27.54	28.51
20200713 234027	592.634	27.6	27.53	28.487
20200713 234029	594.761	27.57	27.52	28.464
20200713 234031	596.882	27.55	27.51	28.446
20200713 234033	599.016	27.52	27.49	28.429
20200713 234035	601.143	27.49	27.49	28.405
20200713 234038	603.264	27.48	27.46	28.388
20200713 234040	605.399	27.45	27.45	28.359
20200713 234042	607.523	27.42	27.44	28.335
20200713 234044	609.654	27.4	27.42	28.318
20200713 234046	611.797	27.37	27.4	28.301
20200713 234048	613.925	27.34	27.4	28.283
20200713 234050	616.052	27.33	27.38	28.26
20200713 234053	618.196	27.3	27.36	28.236
20200713 234055	620.323	27.27	27.35	28.219
20200713 234057	622.444	27.26	27.33	28.195
20200713 234059	624.59	27.23	27.31	28.178
20200713 234101	626.722	27.2	27.3	28.149
20200713 234103	628.849	27.18	27.28	28.131
20200713 234105	630.993	27.15	27.27	28.108
20200713 234107	633.12	27.12	27.26	28.085
20200713 234110	635.248	27.11	27.24	28.061
20200713 234112	637.391	27.08	27.22	28.049
20200713 234114	639.518	27.05	27.22	28.02
20200713 234341	786.368	27.03	27.2	26.587
20200713 234343	788.278	25.35	26.1	26.564
20200713 234345	790.403	25.32	26.08	26.552
20200713 234347	792.53	25.31	26.06	26.529
20200713 234349	794.66	25.28	26.05	26.511
20200713 234351	796.785	25.25	26.03	26.482
20200713 234353	798.912	25.24	26.01	26.464
20200713 234355	801.042	25.21	26.0	26.441
20200713 234357	803.169	25.18	25.98	26.417
20200713 234400	805.291	25.17	25.96	26.394
20200713 234402	807.418	25.14	25.95	26.376
20200713 234404	809.549	25.11	25.93	26.359
20200713 234406	811.677	25.09	25.9	26.341
20200713 234408	813.805	25.07	25.9	26.317
20200713 234410	815.945	25.04	25.88	26.294
20200713 234412	818.075	25.02	25.85	26.265
20200713 234415	820.199	25.0	25.85	26.247
20200713 234417	822.342	24.97	25.83	26.235
20200713 234419	824.471	24.95	25.8	26.212
20200713 234421	826.595	24.92	25.8	26.194
20200713 234423	828.726	24.89	25.78	26.165
20200713 234425	830.849	24.88	25.75	26.147
20200713 234427	832.981	24.85	25.75	26.124
20200713 234429	835.109	24.82	25.72	26.106
20200713 234432	837.235	24.81	25.7	26.077
20200713 234434	839.363	24.78	25.69	26.065
20200713 234436	841.486	24.75	25.67	26.036
20200713 234438	843.618	24.74	25.65	26.018
20200713 234440	845.74	24.71	25.64	26.006
20200713 234442	847.872	24.68	25.62	25.983
20200713 234444	849.995	24.67	25.6	25.965
20200713 234446	852.127	24.64	25.59	25.93
20200713 234449	854.253	24.61	25.57	25.912
20200713 234451	856.381	24.6	25.55	25.895
20200713 234453	858.508	24.57	25.55	25.877
20200713 234455	860.636	24.54	25.52	25.859
20200713 234457	862.763	24.53	25.5	25.836
20200713 234459	864.906	24.5	25.5	25.818
20200713 234501	867.032	24.47	25.48	25.795
20200713 234503	869.16	24.46	25.45	25.771
20200713 234506	871.287	24.43	25.45	25.748
20200713 234508	873.415	24.4	25.43	25.736
20200713 234510	875.539	24.39	25.4	25.712
20200713 234512	877.667	24.36	25.4	25.689
20200713 234514	879.796	24.33	25.37	25.659
20200713 234516	881.923	24.32	25.35	25.648
20200713 234518	884.05	24.29	25.35	25.624
20200713 234521	886.178	24.27	25.32	25.606
20200713 234523	888.304	24.25	25.3	25.595
20200713 234525	890.428	24.22	25.29	25.559
20200713 234527	892.559	24.2	25.27	25.548
20200713 234529	894.686	24.18	25.24	25.518
20200713 234531	896.814	24.15	25.23	25.5
20200713 234533	898.941	24.13	25.21	25.483
20200713 234535	901.068	24.1	25.19	25.459
20200713 234538	903.191	24.08	25.18	25.442
20200713 234540	905.319	24.06	25.16	25.412
20200713 234542	907.465	24.03	25.14	25.394
20200713 234544	909.593	24.0	25.13	25.383
20200713 234546	911.72	23.99	25.11	25.353
20200713 234548	913.863	23.96	25.08	25.336
20200713 234550	915.986	23.93	25.08	25.318
20200713 234552	918.117	23.92	25.06	25.3
20200713 234555	920.244	23.89	25.03	25.277
20200713 234557	922.371	23.86	25.02	25.259
20200713 234559	924.499	23.85	25.0	25.229
20200713 234601	926.626	23.82	24.98	25.212
20200713 234603	928.753	23.79	24.97	25.188
20200713 234605	930.881	23.77	24.95	25.17
20200713 234607	933.004	23.75	24.92	25.153
20200713 234609	935.135	23.72	24.92	25.129
20200713 234612	937.262	23.7	24.9	25.106
20200713 234614	939.385	23.67	24.89	25.088
20200713 234616	941.515	23.65	24.87	25.07
20200713 234618	943.643	23.63	24.84	25.047
20200713 234620	945.771	23.6	24.84	25.029
20200713 234622	947.898	23.57	24.81	25.005
20200713 234624	950.023	23.56	24.79	24.988
20200713 234626	952.152	23.53	24.78	24.97
20200713 234629	954.275	23.5	24.76	24.935
20200713 234631	956.423	23.49	24.74	24.923
20200713 234633	958.55	23.46	24.73	24.905
20200713 234635	960.677	23.43	24.71	24.882
20200713 234637	962.804	23.42	24.69	24.858
20200713 234639	964.931	23.39	24.68	24.846
20200713 234641	967.059	23.36	24.66	24.816
20200713 234644	969.186	23.35	24.64	24.799
20200713 234646	971.313	23.32	24.63	24.775
20200713 234648	973.435	23.3	24.6	24.757
20200713 234650	975.567	23.28	24.58	24.728
20200713 234652	977.69	23.25	24.57	24.71
20200713 234654	979.822	23.23	24.55	24.686
20200713 234656	981.949	23.21	24.52	24.675
20200713 234658	984.076	23.18	24.52	24.645
20200713 234701	986.203	23.15	24.5	24.633
20200713 234703	988.328	23.14	24.48	24.604
20200713 234705	990.457	23.11	24.47	24.58
20200713 234707	992.584	23.09	24.45	24.574
20200713 234709	994.713	23.07	24.42	24.55
20200713 234711	996.839	23.04	24.42	24.527
20200713 234713	998.982	23.02	24.4	24.509
20200713 234715	1001.11	23.0	24.37	24.485
20200713 234718	1003.234	22.98	24.37	24.462
20200713 234720	1005.363	22.95	24.34	24.444
20200713 234722	1007.491	22.93	24.32	24.42
20200713 234724	1009.618	22.9	24.32	24.402
20200713 234726	1011.746	22.88	24.29	24.391
20200713 234728	1013.873	22.86	24.27	24.361
20200713 234730	1016.0	22.83	24.27	24.343
20200713 234732	1018.127	22.81	24.24	24.325
20200713 234735	1020.254	22.79	24.22	24.302
20200713 234737	1022.38	22.77	24.21	24.278
20200713 234739	1024.508	22.74	24.19	24.26
20200713 234741	1026.636	22.72	24.17	24.237
20200713 234743	1028.763	22.7	24.16	24.219
20200713 234745	1030.887	22.67	24.14	24.195
20200713 234747	1033.017	22.66	24.11	24.183
20200713 234749	1035.144	22.63	24.11	24.16
20200713 234752	1037.271	22.6	24.08	24.136
20200713 234754	1039.395	22.58	24.06	24.112
20200713 234756	1041.542	22.56	24.06	24.088
20200713 234758	1043.669	22.53	24.03	24.065
20200713 234800	1045.792	22.52	24.0	24.053
20200713 234802	1047.924	22.49	24.0	24.035
20200713 234804	1050.051	22.46	23.97	24.011
20200713 234807	1052.178	22.45	23.95	23.987
20200713 234809	1054.305	22.42	23.95	23.964
20200713 234811	1056.432	22.39	23.93	23.94
20200713 234813	1058.559	22.38	23.9	23.928
20200713 234815	1060.682	22.35	23.9	23.904
20200713 234817	1062.814	22.34	23.87	23.887
20200713 234819	1064.941	22.31	23.85	23.869
20200713 234821	1067.068	22.28	23.84	23.851
20200713 234824	1069.196	22.27	23.82	23.821
20200713 234826	1071.319	22.24	23.79	23.803
20200713 234828	1073.444	22.21	23.79	23.78
20200713 234830	1075.577	22.2	23.76	23.762
20200713 234832	1077.7	22.17	23.74	23.744
20200713 234834	1079.831	22.14	23.73	23.714
20200713 234836	1081.959	22.13	23.71	23.702
20200713 234838	1084.086	22.1	23.69	23.679
20200713 234841	1086.213	22.08	23.68	23.655
20200713 234843	1088.34	22.06	23.65	23.643
20200713 234845	1090.462	22.03	23.63	23.619
20200713 234847	1092.595	22.01	23.62	23.601
20200713 234849	1094.722	21.99	23.6	23.577
20200713 234851	1096.844	21.97	23.58	23.56
20200713 234853	1098.974	21.94	23.57	23.536
20200713 234855	1101.104	21.92	23.55	23.518
20200713 234858	1103.231	21.9	23.54	23.488
20200713 234900	1105.357	21.87	23.52	23.464
20200713 234902	1107.48	21.85	23.5	23.452
20200713 234904	1109.612	21.83	23.49	23.435
20200713 234906	1111.74	21.8	23.47	23.417
20200713 234908	1113.864	21.78	23.45	23.393
20200713 234910	1115.994	21.76	23.44	23.375
20200713 234912	1118.121	21.73	23.42	23.357
20200713 234915	1120.264	21.72	23.39	23.327
20200713 234917	1122.387	21.69	23.39	23.303
20200713 234919	1124.519	21.66	23.37	23.286
20200713 234921	1126.662	21.65	23.34	23.268
20200713 234923	1128.789	21.62	23.34	23.244
20200713 234925	1130.917	21.59	23.31	23.226
20200713 234927	1133.059	21.58	23.29	23.202
20200713 234930	1135.187	21.55	23.28	23.184
20200713 234932	1137.31	21.52	23.26	23.16
20200713 234934	1139.441	21.51	23.24	23.142
20200713 234936	1141.568	21.48	23.23	23.125
20200713 234938	1143.694	21.45	23.21	23.107
20200713 234940	1145.825	21.44	23.18	23.083
20200713 234942	1147.952	21.41	23.18	23.059
20200713 234944	1150.072	21.39	23.15	23.041
20200713 234947	1152.206	21.37	23.13	23.023
20200713 234949	1154.327	21.35	23.13	23.005
20200713 234951	1156.461	21.32	23.1	22.981
20200713 234953	1158.583	21.3	23.08	22.957
20200713 234955	1160.715	21.28	23.08	22.945
20200713 234957	1162.843	21.25	23.05	22.915
20200713 234959	1164.969	21.23	23.03	22.898
20200713 235001	1167.097	21.21	23.02	22.874
20200713 235004	1169.217	21.18	23.0	22.856
20200713 235006	1171.345	21.17	22.98	22.838
20200713 235008	1173.478	21.14	22.97	22.814
20200713 235010	1175.604	21.12	22.95	22.796
20200713 235012	1177.728	21.1	22.93	22.778
20200713 235014	1179.86	21.07	22.92	22.748
20200713 235016	1181.987	21.05	22.9	22.73
20200713 235018	1184.114	21.03	22.87	22.718
20200713 235021	1186.241	21.0	22.87	22.688
20200713 235023	1188.362	20.98	22.85	22.67
20200713 235025	1190.495	20.96	22.82	22.658
20200713 235027	1192.623	20.94	22.82	22.634
20200713 235029	1194.75	20.91	22.79	22.611
20200713 235031	1196.874	20.9	22.77	22.593
20200713 235033	1199.004	20.87	22.76	22.568
20200713 235035	1201.131	20.85	22.74	22.556
20200713 235038	1203.253	20.83	22.72	22.532
20200713 235040	1205.381	20.8	22.71	22.508
20200713 235042	1207.513	20.78	22.69	22.484
20200713 235044	1209.634	20.76	22.66	22.473
20200713 235046	1211.783	20.74	22.66	22.449
20200713 235048	1213.903	20.71	22.63	22.425
20200713 235050	1216.031	20.7	22.61	22.401
20200713 235052	1218.177	20.67	22.61	22.383
20200713 235055	1220.308	20.64	22.58	22.359
20200713 235057	1222.432	20.63	22.56	22.329
20200713 235059	1224.576	20.61	22.55	22.323
20200713 235101	1226.705	20.58	22.53	22.317
20200713 235103	1228.827	20.56	22.5	22.293
20200713 235105	1230.976	20.54	22.5	22.269
20200713 235107	1233.103	20.51	22.47	22.245
20200713 235110	1235.23	20.5	22.45	22.227
20200713 235112	1237.351	20.47	22.45	22.209
20200713 235114	1239.48	20.44	22.42	22.184
20200713 235116	1241.612	20.43	22.4	22.166
20200713 235118	1243.739	20.4	22.4	22.142
20200713 235120	1245.866	20.38	22.37	22.124
20200713 235122	1247.993	20.36	22.35	22.1
20200713 235124	1250.121	20.34	22.34	22.088
20200713 235127	1252.248	20.32	22.32	22.064
20200713 235129	1254.377	20.3	22.29	22.046
20200713 235131	1256.502	20.27	22.29	22.022
20200713 235133	1258.626	20.25	22.27	22.004
20200713 235135	1260.757	20.23	22.24	21.986
20200713 235137	1262.884	20.2	22.24	21.962
20200713 235139	1265.011	20.19	22.21	21.95
20200713 235141	1267.138	20.16	22.19	21.92
20200713 235144	1269.265	20.13	22.18	21.902
20200713 235146	1271.392	20.12	22.16	21.878
20200713 235148	1273.532	20.09	22.14	21.86
20200713 235150	1275.663	20.07	22.13	21.842
20200713 235152	1277.79	20.05	22.11	21.818
20200713 235154	1279.917	20.03	22.09	21.799
20200713 235156	1282.045	20.0	22.08	21.775
20200713 235158	1284.172	19.98	22.06	21.763
20200713 235201	1286.301	19.96	22.03	21.739
20200713 235203	1288.419	19.93	22.03	21.715
20200713 235205	1290.547	19.92	22.0	21.697
20200713 235207	1292.68	19.89	21.98	21.679
20200713 235209	1294.808	19.86	21.97	21.654
20200713 235211	1296.935	19.85	21.95	21.63
20200713 235213	1299.062	19.82	21.94	21.612
20200713 235216	1301.205	19.8	21.92	21.594
20200713 235218	1303.327	19.78	21.89	21.576
20200713 235220	1305.459	19.76	21.89	21.552
20200713 235222	1307.587	19.73	21.87	21.534
20200713 235224	1309.714	19.72	21.84	21.516
20200713 235226	1311.841	19.69	21.84	21.492
20200713 235228	1313.968	19.66	21.81	21.473
20200713 235230	1316.096	19.65	21.79	21.455
20200713 235233	1318.219	19.62	21.78	21.431
20200713 235235	1320.348	19.6	21.76	21.419
20200713 235237	1322.488	19.58	21.74	21.395
20200713 235239	1324.618	19.56	21.73	21.37
20200713 235241	1326.747	19.53	21.71	21.352
20200713 235243	1328.874	19.52	21.69	21.328
20200713 235245	1331.002	19.49	21.68	21.316
20200713 235247	1333.129	19.47	21.66	21.292
20200713 235250	1335.256	19.45	21.64	21.28
20200713 235252	1337.377	19.43	21.63	21.249
20200713 235254	1339.513	19.4	21.6	21.225
20200713 235256	1341.638	19.39	21.58	21.213
20200713 235258	1343.765	19.36	21.58	21.183
20200713 235300	1345.892	19.33	21.55	21.165
20200713 235302	1348.019	19.32	21.53	21.159
20200713 235304	1350.146	19.29	21.52	21.147
20200713 235307	1352.272	19.27	21.5	21.122
20200713 235309	1354.4	19.25	21.48	21.098
20200713 235311	1356.522	19.23	21.47	21.074
20200713 235313	1358.655	19.2	21.45	21.056
20200713 235315	1360.782	19.19	21.43	21.037
20200713 235317	1362.91	19.16	21.42	21.007
20200713 235319	1365.046	19.14	21.4	20.989
20200713 235321	1367.176	19.12	21.37	20.964
20200713 235324	1369.307	19.1	21.37	20.946
20200713 235326	1371.433	19.07	21.35	20.928
20200713 235328	1373.562	19.06	21.32	20.904
20200713 235330	1375.691	19.03	21.32	20.892
20200713 235332	1377.816	19.01	21.29	20.873
20200713 235334	1379.939	19.0	21.27	20.849
20200713 235336	1382.07	18.97	21.27	20.837
20200713 235339	1384.197	18.94	21.24	20.813
20200713 235341	1386.321	18.93	21.22	20.788
20200713 235343	1388.451	18.9	21.21	20.776
20200713 235345	1390.579	18.88	21.19	20.752
20200713 235347	1392.705	18.86	21.17	20.734
20200713 235349	1394.827	18.84	21.16	20.709
20200713 235351	1396.954	18.81	21.14	20.685
20200713 235353	1399.088	18.8	21.11	20.673
20200713 235356	1401.215	18.77	21.11	20.648
20200713 235358	1403.34	18.75	21.08	20.636
20200713 235400	1405.469	18.73	21.06	20.612
20200713 235402	1407.613	18.71	21.06	20.587
20200713 235404	1409.74	18.68	21.03	20.575
20200713 235406	1411.867	18.67	21.01	20.557
20200713 235408	1414.01	18.65	21.01	20.533
20200713 235410	1416.138	18.62	20.98	20.514
20200713 235413	1418.264	18.61	20.96	20.496
20200713 235415	1420.391	18.58	20.95	20.472
20200713 235417	1422.519	18.55	20.93	20.447
20200713 235419	1424.646	18.54	20.91	20.435
20200713 235421	1426.77	18.51	20.9	20.405
20200713 235423	1428.901	18.5	20.88	20.392
