clock	watch	T_int	T_ext	T_ref
20200714 073059	13.38	16.98	20.07	19.034
20200714 073101	15.506	16.95	20.04	19.022
20200714 073103	17.65	16.94	20.02	18.997
20200714 073105	19.777	16.91	20.01	18.972
20200714 073108	21.904	16.89	19.99	18.96
20200714 073110	24.048	16.87	19.96	18.929
20200714 073112	26.171	16.85	19.96	18.917
20200714 073114	28.303	16.82	19.93	18.892
20200714 073116	30.446	16.81	19.91	18.873
20200714 073118	32.572	16.79	19.9	18.849
20200714 073120	34.695	16.76	19.88	18.83
20200714 073122	36.826	16.75	19.86	18.818
20200714 073125	38.952	16.72	19.85	18.793
20200714 073127	41.082	16.7	19.83	18.774
20200714 073129	43.206	16.68	19.81	18.75
20200714 073131	45.335	16.66	19.8	18.731
20200714 073133	47.461	16.63	19.78	18.712
20200714 073135	49.59	16.62	19.75	18.694
20200714 073137	51.717	16.59	19.75	18.669
20200714 073139	53.844	16.57	19.72	18.65
20200714 073142	55.971	16.55	19.7	18.631
20200714 073144	58.099	16.53	19.7	18.613
20200714 073146	60.226	16.5	19.67	18.594
20200714 073148	62.349	16.49	19.65	18.569
20200714 073150	64.481	16.46	19.64	18.544
20200714 073152	66.608	16.44	19.62	18.532
20200714 073154	68.731	16.43	19.59	18.507
20200714 073156	70.86	16.4	19.59	18.494
20200714 073159	73.005	16.38	19.56	18.47
20200714 073201	75.133	16.36	19.54	18.445
20200714 073203	77.259	16.34	19.53	18.432
20200714 073205	79.387	16.31	19.51	18.407
20200714 073207	81.514	16.3	19.48	18.389
20200714 073209	83.64	16.27	19.48	18.37
20200714 073211	85.764	16.25	19.46	18.358
20200714 073214	87.895	16.24	19.43	18.326
20200714 073216	90.022	16.21	19.43	18.308
20200714 073218	92.15	16.19	19.41	18.289
20200714 073220	94.277	16.17	19.38	18.27
20200714 073222	96.404	16.15	19.38	18.251
20200714 073224	98.531	16.12	19.35	18.226
20200714 073226	100.658	16.11	19.33	18.201
20200714 073228	102.785	16.08	19.32	18.189
20200714 073231	104.913	16.06	19.3	18.17
20200714 073233	107.04	16.05	19.28	18.151
20200714 073235	109.167	16.02	19.27	18.126
20200714 073237	111.29	16.0	19.25	18.108
20200714 073239	113.422	15.98	19.23	18.089
20200714 073241	115.565	15.96	19.22	18.07
20200714 073243	117.691	15.94	19.2	18.058
20200714 073245	119.817	15.92	19.17	18.033
20200714 073248	121.943	15.9	19.17	18.014
20200714 073250	124.073	15.88	19.14	17.983
20200714 073252	126.2	15.86	19.12	17.97
20200714 073254	128.328	15.84	19.12	17.951
20200714 073256	130.455	15.81	19.09	17.933
20200714 073258	132.583	15.8	19.07	17.914
20200714 073300	134.709	15.78	19.07	17.895
20200714 073302	136.834	15.76	19.04	17.882
20200714 073305	138.962	15.74	19.02	17.857
20200714 073307	141.091	15.71	19.01	17.838
20200714 073309	143.214	15.7	18.99	17.819
20200714 073311	145.345	15.68	18.96	17.794
20200714 073313	147.472	15.65	18.96	17.769
20200714 073315	149.598	15.64	18.93	17.757
20200714 073317	151.726	15.62	18.91	17.738
20200714 073319	153.852	15.59	18.91	17.713
20200714 073322	155.981	15.58	18.88	17.694
20200714 073324	158.12	15.56	18.86	17.669
20200714 073326	160.25	15.53	18.85	17.644
20200714 073328	162.379	15.52	18.83	17.631
20200714 073330	164.522	15.49	18.81	17.631
20200714 073332	166.649	15.47	18.8	17.619
20200714 073334	168.774	15.46	18.78	17.593
20200714 073337	170.903	15.43	18.76	17.562
20200714 073339	173.029	15.41	18.75	17.537
20200714 073341	175.157	15.4	18.73	17.524
20200714 073343	177.284	15.37	18.7	17.505
20200714 073345	179.412	15.35	18.7	17.493
20200714 073347	181.539	15.33	18.68	17.474
20200714 073349	183.662	15.31	18.65	17.442
20200714 073351	185.79	15.29	18.65	17.423
20200714 073354	187.92	15.27	18.63	17.411
20200714 073356	190.048	15.25	18.62	17.385
20200714 073358	192.175	15.22	18.6	17.373
20200714 073400	194.302	15.21	18.57	17.347
20200714 073402	196.429	15.19	18.57	17.329
20200714 073404	198.556	15.16	18.54	17.31
20200714 073406	200.683	15.15	18.52	17.284
20200714 073408	202.805	15.12	18.51	17.265
20200714 073411	204.938	15.1	18.49	17.253
20200714 073413	207.081	15.09	18.47	17.234
20200714 073415	209.206	15.06	18.47	17.215
20200714 073417	211.335	15.04	18.44	17.196
20200714 073419	213.462	15.02	18.42	17.171
20200714 073421	215.59	15.0	18.41	17.158
20200714 073423	217.717	14.98	18.39	17.133
20200714 073425	219.84	14.96	18.37	17.114
20200714 073428	221.971	14.94	18.36	17.095
20200714 073430	224.099	14.91	18.34	17.076
20200714 073432	226.226	14.9	18.32	17.063
20200714 073434	228.353	14.88	18.31	17.038
20200714 073436	230.48	14.86	18.29	17.019
20200714 073438	232.607	14.84	18.26	16.993
20200714 073440	234.734	14.82	18.26	16.974
20200714 073442	236.86	14.8	18.24	16.955
20200714 073445	238.989	14.78	18.21	16.942
20200714 073447	241.116	14.76	18.21	16.917
20200714 073449	243.243	14.74	18.19	16.904
20200714 073451	245.371	14.73	18.16	16.879
20200714 073453	247.498	14.7	18.16	16.86
20200714 073455	249.637	14.68	18.14	16.841
20200714 073457	251.764	14.67	18.11	16.822
20200714 073500	253.895	14.64	18.11	16.809
20200714 073502	256.034	14.62	18.09	16.79
20200714 073504	258.164	14.61	18.06	16.765
20200714 073506	260.293	14.58	18.06	16.746
20200714 073508	262.42	14.56	18.03	16.727
20200714 073510	264.548	14.55	18.01	16.708
20200714 073512	266.674	14.53	18.0	16.689
20200714 073514	268.797	14.5	17.98	16.669
20200714 073517	270.929	14.49	17.96	16.644
20200714 073519	273.056	14.47	17.96	16.631
20200714 073521	275.183	14.44	17.93	16.618
20200714 073523	277.31	14.43	17.91	16.599
20200714 073525	279.437	14.41	17.91	16.574
20200714 073527	281.563	14.39	17.88	16.554
20200714 073529	283.689	14.37	17.86	16.535
20200714 073531	285.815	14.35	17.85	16.516
20200714 073534	287.946	14.33	17.83	16.497
20200714 073536	290.073	14.31	17.81	16.478
20200714 073538	292.198	14.29	17.8	16.452
20200714 073540	294.328	14.27	17.78	16.433
20200714 073542	296.455	14.26	17.76	16.421
20200714 073544	298.582	14.23	17.75	16.401
20200714 073546	300.708	14.21	17.73	16.389
20200714 073548	302.833	14.2	17.71	16.376
20200714 073551	304.964	14.17	17.7	16.357
20200714 073553	307.087	14.15	17.68	16.338
20200714 073555	309.218	14.14	17.66	16.306
20200714 073557	311.345	14.12	17.65	16.287
20200714 073559	313.472	14.1	17.63	16.274
20200714 073601	315.599	14.08	17.61	16.261
20200714 073603	317.726	14.05	17.6	16.235
20200714 073605	319.854	14.04	17.58	16.216
20200714 073608	321.981	14.02	17.56	16.197
20200714 073610	324.108	14.0	17.55	16.177
20200714 073612	326.235	13.98	17.53	16.164
20200714 073614	328.362	13.96	17.51	16.145
20200714 073616	330.489	13.94	17.5	16.126
20200714 073618	332.617	13.92	17.48	16.107
20200714 073620	334.759	13.9	17.46	16.088
20200714 073622	336.881	13.88	17.45	16.068
20200714 073625	339.014	13.87	17.43	16.043
20200714 073627	341.152	13.84	17.41	16.03
20200714 073629	343.286	13.82	17.4	16.011
20200714 073631	345.414	13.81	17.38	15.998
20200714 073633	347.551	13.79	17.36	15.979
20200714 073635	349.684	13.76	17.35	15.959
20200714 073637	351.804	13.75	17.33	15.94
20200714 073640	353.955	13.73	17.31	15.921
20200714 073642	356.082	13.7	17.3	15.902
20200714 073644	358.209	13.69	17.28	15.889
20200714 073646	360.336	13.67	17.26	15.87
20200714 073648	362.457	13.64	17.25	15.843
20200714 073650	364.584	13.63	17.23	15.83
20200714 073652	366.717	13.61	17.21	15.811
20200714 073654	368.845	13.59	17.2	15.792
20200714 073657	370.988	13.58	17.18	15.772
20200714 073659	373.11	13.55	17.16	15.753
20200714 073701	375.236	13.53	17.15	15.734
20200714 073703	377.369	13.52	17.13	15.714
20200714 073705	379.497	13.5	17.11	15.695
20200714 073707	381.62	13.47	17.1	15.682
20200714 073709	383.746	13.46	17.08	15.663
20200714 073711	385.874	13.44	17.08	15.637
20200714 073714	388.005	13.42	17.05	15.624
20200714 073716	390.127	13.41	17.03	15.598
20200714 073718	392.255	13.38	17.03	15.585
20200714 073720	394.387	13.36	17.01	15.566
20200714 073722	396.514	13.35	16.98	15.547
20200714 073724	398.639	13.32	16.98	15.527
20200714 073726	400.761	13.3	16.96	15.502
20200714 073729	402.888	13.29	16.93	15.495
20200714 073731	405.021	13.27	16.93	15.476
20200714 073733	407.148	13.24	16.91	15.456
20200714 073735	409.275	13.23	16.88	15.437
20200714 073737	411.402	13.21	16.88	15.424
20200714 073739	413.543	13.18	16.85	15.398
20200714 073741	415.672	13.17	16.83	15.378
20200714 073743	417.795	13.15	16.83	15.359
20200714 073746	419.926	13.13	16.81	15.346
20200714 073748	422.051	13.12	16.78	15.32
20200714 073750	424.181	13.09	16.78	15.307
20200714 073752	426.308	13.07	16.76	15.294
20200714 073754	428.435	13.06	16.73	15.261
20200714 073756	430.562	13.04	16.73	15.248
20200714 073758	432.689	13.01	16.71	15.229
20200714 073800	434.812	13.0	16.69	15.203
20200714 073803	436.941	12.98	16.68	15.203
20200714 073805	439.071	12.95	16.66	15.203
20200714 073807	441.198	12.94	16.64	15.184
20200714 073809	443.325	12.92	16.63	15.158
20200714 073811	445.452	12.9	16.61	15.132
20200714 073813	447.579	12.88	16.59	15.112
20200714 073815	449.702	12.86	16.58	15.099
20200714 073817	451.83	12.84	16.56	15.073
20200714 073820	453.961	12.83	16.54	15.054
20200714 073822	456.088	12.8	16.53	15.041
20200714 073824	458.215	12.78	16.51	15.021
20200714 073826	460.342	12.77	16.49	15.001
20200714 073828	462.469	12.75	16.49	14.982
20200714 073830	464.597	12.72	16.46	14.962
20200714 073832	466.724	12.71	16.44	14.949
20200714 073834	468.851	12.69	16.44	14.929
20200714 073837	470.978	12.67	16.42	14.903
20200714 073839	473.105	12.66	16.39	14.89
20200714 073841	475.227	12.63	16.39	14.877
20200714 073843	477.356	12.61	16.36	14.851
20200714 073845	479.487	12.6	16.34	14.838
20200714 073847	481.614	12.58	16.34	14.818
20200714 073849	483.741	12.55	16.31	14.805
20200714 073851	485.869	12.54	16.29	14.779
20200714 073854	487.996	12.52	16.29	14.76
20200714 073856	490.123	12.5	16.27	14.747
20200714 073858	492.25	12.49	16.24	14.727
20200714 073900	494.377	12.47	16.24	14.714
20200714 073902	496.499	12.46	16.21	14.694
20200714 073904	498.628	12.43	16.19	14.675
20200714 073906	500.758	12.41	16.19	14.655
20200714 073908	502.883	12.4	16.17	14.636
20200714 073911	505.01	12.38	16.15	14.616
20200714 073913	507.14	12.36	16.14	14.596
20200714 073915	509.267	12.35	16.12	14.589
20200714 073917	511.395	12.32	16.1	14.57
20200714 073919	513.522	12.3	16.09	14.55
20200714 073921	515.649	12.29	16.07	14.537
20200714 073923	517.772	12.27	16.05	14.517
20200714 073926	519.903	12.25	16.04	14.497
20200714 073928	522.03	12.24	16.02	14.471
20200714 073930	524.158	12.22	16.0	14.465
20200714 073932	526.285	12.19	15.99	14.451
20200714 073934	528.412	12.18	15.97	14.425
20200714 073936	530.539	12.16	15.95	14.412
20200714 073938	532.664	12.14	15.95	14.392
20200714 073940	534.793	12.13	15.93	14.379
20200714 073943	536.92	12.11	15.92	14.353
20200714 073945	539.045	12.09	15.9	14.34
20200714 073947	541.175	12.08	15.88	14.313
20200714 073949	543.298	12.05	15.87	14.294
20200714 073951	545.429	12.03	15.85	14.281
20200714 073953	547.555	12.02	15.83	14.261
20200714 073955	549.68	12.0	15.82	14.248
20200714 073957	551.808	11.97	15.8	14.228
20200714 074000	553.953	11.96	15.78	14.215
20200714 074002	556.081	11.94	15.77	14.195
20200714 074004	558.208	11.92	15.75	14.181
20200714 074006	560.351	11.91	15.73	14.162
20200714 074008	562.478	11.89	15.73	14.142
20200714 074010	564.605	11.87	15.71	14.129
20200714 074012	566.748	11.85	15.69	14.109
20200714 074014	568.875	11.83	15.68	14.082
20200714 074017	571.003	11.81	15.66	14.076
20200714 074019	573.126	11.8	15.64	14.049
20200714 074021	575.257	11.78	15.63	14.036
20200714 074023	577.384	11.75	15.61	14.023
20200714 074025	579.511	11.74	15.59	14.003
20200714 074027	581.639	11.72	15.58	13.976
20200714 074029	583.761	11.7	15.56	13.963
20200714 074032	585.888	11.69	15.54	13.95
20200714 074034	588.018	11.66	15.54	13.93
20200714 074036	590.148	11.64	15.52	13.91
20200714 074038	592.275	11.63	15.5	13.897
20200714 074040	594.4	11.61	15.49	13.877
20200714 074042	596.529	11.59	15.47	13.864
20200714 074044	598.656	11.58	15.45	13.838
20200714 074046	600.779	11.55	15.44	13.818
20200714 074049	602.911	11.53	15.42	13.805
20200714 074051	605.038	11.52	15.4	13.785
20200714 074053	607.165	11.5	15.39	13.765
20200714 074055	609.308	11.48	15.37	13.751
20200714 074057	611.433	11.47	15.35	13.738
20200714 074059	613.562	11.45	15.35	13.718
20200714 074101	615.689	11.43	15.33	13.704
20200714 074103	617.812	11.41	15.3	13.691
20200714 074106	619.944	11.39	15.3	13.664
20200714 074108	622.066	11.37	15.28	13.651
20200714 074110	624.196	11.36	15.26	13.638
20200714 074112	626.325	11.34	15.25	13.611
20200714 074114	628.451	11.32	15.23	13.605
20200714 074116	630.58	11.31	15.21	13.578
20200714 074118	632.707	11.29	15.21	13.565
20200714 074120	634.829	11.26	15.19	13.545
20200714 074123	636.961	11.25	15.17	13.531
20200714 074125	639.086	11.23	15.16	13.511
20200714 074127	641.216	11.21	15.14	13.498
20200714 074129	643.343	11.2	15.12	13.478
20200714 074131	645.468	11.18	15.11	13.465
20200714 074133	647.598	11.16	15.09	13.445
20200714 074135	649.724	11.15	15.07	13.425
20200714 074137	651.864	11.13	15.06	13.405
20200714 074140	653.996	11.11	15.04	13.392
20200714 074142	656.123	11.1	15.02	13.372
20200714 074144	658.25	11.07	15.02	13.352
20200714 074146	660.377	11.05	15.0	13.338
20200714 074148	662.504	11.04	14.98	13.318
20200714 074150	664.627	11.02	14.97	13.304
20200714 074152	666.753	11.01	14.95	13.291
20200714 074154	668.881	10.99	14.93	13.264
20200714 074157	671.013	10.98	14.93	13.25
20200714 074159	673.14	10.98	14.91	13.237
20200714 074201	675.268	10.99	14.89	13.21
20200714 074203	677.393	11.01	14.88	13.197
20200714 074205	679.521	11.03	14.86	13.183
20200714 074207	681.645	11.07	14.84	13.17
20200714 074209	683.774	11.13	14.84	13.15
20200714 074212	685.903	11.16	14.82	13.13
20200714 074214	688.031	11.23	14.8	13.116
20200714 074216	690.158	11.3	14.79	13.103
20200714 074218	692.285	11.34	14.77	13.09
20200714 074220	694.428	11.41	14.75	13.076
20200714 074222	696.555	11.48	14.74	13.069
20200714 074224	698.682	11.52	14.73	13.056
20200714 074226	700.809	11.59	14.71	13.043
20200714 074229	702.937	11.66	14.7	13.023
20200714 074231	705.064	11.7	14.68	13.023
20200714 074233	707.193	11.77	14.66	13.016
20200714 074235	709.32	11.84	14.66	13.002
20200714 074237	711.444	11.87	14.64	13.002
20200714 074239	713.575	11.94	14.62	12.989
20200714 074241	715.701	12.01	14.62	12.989
20200714 074243	717.825	12.05	14.6	12.982
20200714 074246	719.956	12.12	14.59	12.982
20200714 074248	722.083	12.19	14.58	12.976
20200714 074250	724.203	12.22	14.56	12.969
20200714 074252	726.337	12.29	14.56	12.976
20200714 074254	728.465	12.36	14.54	12.976
20200714 074256	730.585	12.4	14.52	12.976
20200714 074258	732.719	12.46	14.52	12.976
20200714 074300	734.847	12.53	14.51	12.976
20200714 074303	736.989	12.57	14.49	12.989
20200714 074305	739.11	12.64	14.49	12.989
20200714 074307	741.243	12.71	14.48	12.989
20200714 074309	743.371	12.74	14.46	13.002
20200714 074311	745.498	12.81	14.46	13.002
20200714 074313	747.619	12.88	14.45	13.009
20200714 074315	749.746	12.92	14.44	13.023
20200714 074317	751.879	12.98	14.43	13.023
20200714 074320	754.006	13.05	14.42	13.029
20200714 074322	756.134	13.09	14.42	13.043
20200714 074324	758.261	13.16	14.41	13.049
20200714 074326	760.388	13.23	14.4	13.063
20200714 074328	762.511	13.26	14.4	13.076
20200714 074330	764.642	13.33	14.39	13.09
20200714 074332	766.762	13.4	14.39	13.096
20200714 074335	768.891	13.44	14.38	13.11
20200714 074337	771.024	13.5	14.38	13.13
20200714 074339	773.151	13.57	14.37	13.137
20200714 074341	775.281	13.61	14.37	13.15
20200714 074343	777.401	13.68	14.37	13.17
20200714 074345	779.549	13.75	14.36	13.183
20200714 074347	781.676	13.78	14.36	13.197
20200714 074349	783.802	13.85	14.36	13.217
20200714 074352	785.946	13.92	14.36	13.244
20200714 074354	788.073	13.96	14.36	13.257
20200714 074356	790.194	14.03	14.36	13.271
20200714 074358	792.328	14.1	14.36	13.284
20200714 074400	794.455	14.13	14.36	13.304
20200714 074402	796.582	14.2	14.36	13.324
20200714 074404	798.709	14.27	14.36	13.338
20200714 074406	800.835	14.3	14.36	13.365
20200714 074409	802.973	14.37	14.36	13.378
20200714 074411	805.1	14.44	14.36	13.398
20200714 074413	807.229	14.47	14.37	13.418
20200714 074415	809.377	14.54	14.37	13.445
20200714 074417	811.504	14.61	14.37	13.465
20200714 074419	813.631	14.64	14.38	13.485
20200714 074421	815.77	14.71	14.38	13.505
20200714 074424	817.894	14.78	14.38	13.525
20200714 074426	820.029	14.81	14.39	13.551
20200714 074428	822.172	14.88	14.39	13.571
20200714 074430	824.299	14.95	14.4	13.598
20200714 074432	826.422	14.98	14.41	13.618
20200714 074434	828.553	15.05	14.41	13.644
20200714 074436	830.681	15.12	14.42	13.671
20200714 074438	832.807	15.15	14.43	13.698
20200714 074441	834.935	15.22	14.43	13.704
20200714 074443	837.055	15.29	14.44	13.731
20200714 074445	839.185	15.32	14.45	13.758
20200714 074447	841.316	15.39	14.45	13.785
20200714 074449	843.44	15.46	14.47	13.805
20200714 074451	845.571	15.49	14.48	13.831
20200714 074453	847.714	15.56	14.48	13.857
20200714 074455	849.842	15.63	14.49	13.891
20200714 074458	851.968	15.66	14.5	13.91
20200714 074500	854.104	15.73	14.51	13.943
20200714 074502	856.239	15.79	14.52	13.963
20200714 074504	858.363	15.82	14.54	13.996
20200714 074506	860.507	15.89	14.54	14.016
20200714 074508	862.635	15.95	14.56	14.049
20200714 074510	864.76	15.98	14.57	14.076
20200714 074513	866.904	16.05	14.58	14.102
20200714 074515	869.031	16.12	14.59	14.129
20200714 074517	871.161	16.15	14.61	14.162
20200714 074519	873.299	16.22	14.61	14.181
20200714 074521	875.431	16.28	14.63	14.215
20200714 074523	877.558	16.32	14.65	14.241
20200714 074525	879.682	16.38	14.66	14.274
20200714 074527	881.806	16.45	14.68	14.307
20200714 074530	883.94	16.48	14.7	14.327
20200714 074532	886.067	16.55	14.7	14.373
20200714 074534	888.19	16.61	14.72	14.392
20200714 074536	890.336	16.64	14.74	14.425
20200714 074538	892.464	16.71	14.74	14.451
20200714 074540	894.592	16.78	14.77	14.491
20200714 074542	896.734	16.81	14.79	14.53
20200714 074544	898.855	16.87	14.79	14.55
20200714 074547	900.989	16.91	14.81	14.589
20200714 074549	903.132	16.97	14.84	14.616
20200714 074551	905.26	17.04	14.84	14.655
20200714 074553	907.387	17.07	14.86	14.675
20200714 074555	909.53	17.13	14.89	14.721
20200714 074557	911.657	17.2	14.89	14.747
20200714 074559	913.781	17.23	14.92	14.779
20200714 074602	915.905	17.3	14.94	14.818
20200714 074604	918.039	17.36	14.95	14.851
20200714 074606	920.166	17.39	14.97	14.884
20200714 074608	922.289	17.45	15.0	14.916
20200714 074610	924.418	17.49	15.01	14.956
20200714 074612	926.548	17.51	15.03	14.995
20200714 074614	928.676	17.54	15.06	15.028
20200714 074616	930.795	17.54	15.06	15.06
20200714 074619	932.926	17.54	15.09	15.099
20200714 074621	935.056	17.53	15.12	15.138
20200714 074623	937.183	17.51	15.13	15.184
20200714 074625	939.303	17.49	15.15	15.203
20200714 074627	941.438	17.46	15.18	15.222
20200714 074629	943.564	17.44	15.19	15.261
20200714 074631	945.692	17.42	15.22	15.3
20200714 074633	947.816	17.4	15.24	15.326
20200714 074636	949.946	17.37	15.25	15.365
20200714 074638	952.089	17.35	15.28	15.398
20200714 074640	954.217	17.33	15.31	15.424
20200714 074642	956.344	17.3	15.32	15.463
20200714 074644	958.471	17.29	15.35	15.489
20200714 074646	960.597	17.26	15.35	15.527
20200714 074648	962.725	17.23	15.38	15.56
20200714 074650	964.852	17.22	15.41	15.585
20200714 074653	966.98	17.2	15.42	15.618
20200714 074655	969.103	17.17	15.45	15.643
20200714 074657	971.234	17.15	15.47	15.676
20200714 074659	973.354	17.13	15.48	15.701
20200714 074701	975.483	17.1	15.51	15.721
20200714 074703	977.608	17.09	15.53	15.76
20200714 074705	979.737	17.06	15.54	15.779
20200714 074707	981.87	17.04	15.57	15.798
20200714 074710	983.997	17.02	15.59	15.837
20200714 074712	986.119	17.0	15.6	15.857
20200714 074714	988.252	16.97	15.63	15.882
20200714 074716	990.379	16.96	15.66	15.908
20200714 074718	992.506	16.93	15.66	15.934
20200714 074720	994.649	16.9	15.69	15.959
20200714 074722	996.773	16.89	15.71	15.979
20200714 074725	998.903	16.86	15.72	15.998
20200714 074727	1001.03	16.83	15.75	16.017
20200714 074729	1003.158	16.82	15.77	16.03
20200714 074731	1005.285	16.8	15.78	16.055
20200714 074733	1007.411	16.77	15.8	16.075
20200714 074735	1009.536	16.75	15.82	16.094
20200714 074737	1011.667	16.73	15.83	16.107
20200714 074739	1013.795	16.7	15.85	16.132
20200714 074742	1015.916	16.69	15.87	16.152
20200714 074744	1018.048	16.66	15.88	16.164
20200714 074746	1020.175	16.64	15.9	16.177
20200714 074748	1022.317	16.62	15.93	16.197
20200714 074750	1024.445	16.6	15.93	16.203
20200714 074752	1026.573	16.57	15.95	16.222
20200714 074754	1028.699	16.56	15.97	16.248
20200714 074756	1030.824	16.53	15.98	16.248
20200714 074759	1032.954	16.51	15.99	16.261
20200714 074801	1035.081	16.49	16.01	16.274
20200714 074803	1037.209	16.47	16.02	16.28
20200714 074805	1039.33	16.44	16.04	16.293
20200714 074807	1041.461	16.43	16.05	16.312
20200714 074809	1043.59	16.4	16.06	16.319
20200714 074811	1045.713	16.38	16.08	16.331
20200714 074813	1047.838	16.36	16.09	16.331
20200714 074816	1049.972	16.34	16.1	16.344
20200714 074818	1052.099	16.31	16.11	16.357
20200714 074820	1054.226	16.3	16.13	16.357
20200714 074822	1056.353	16.27	16.13	16.37
20200714 074824	1058.48	16.25	16.15	16.376
20200714 074826	1060.608	16.24	16.16	16.376
20200714 074828	1062.734	16.21	16.16	16.382
20200714 074830	1064.865	16.18	16.18	16.389
20200714 074833	1066.984	16.17	16.19	16.401
20200714 074835	1069.116	16.15	16.19	16.408
20200714 074837	1071.241	16.12	16.21	16.401
20200714 074839	1073.371	16.11	16.22	16.408
20200714 074841	1075.494	16.08	16.22	16.414
20200714 074843	1077.625	16.07	16.24	16.414
20200714 074845	1079.765	16.05	16.25	16.421
20200714 074848	1081.895	16.02	16.25	16.421
20200714 074850	1084.016	16.01	16.26	16.427
20200714 074852	1086.15	15.98	16.27	16.433
20200714 074854	1088.27	15.96	16.27	16.433
20200714 074856	1090.404	15.95	16.28	16.427
20200714 074858	1092.526	15.92	16.29	16.427
20200714 074900	1094.659	15.89	16.29	16.427
20200714 074902	1096.78	15.88	16.3	16.427
20200714 074905	1098.913	15.86	16.31	16.427
20200714 074907	1101.04	15.83	16.31	16.433
20200714 074909	1103.167	15.82	16.31	16.427
20200714 074911	1105.294	15.79	16.32	16.427
20200714 074913	1107.417	15.77	16.32	16.421
20200714 074915	1109.549	15.76	16.33	16.421
20200714 074917	1111.676	15.73	16.33	16.421
20200714 074919	1113.798	15.71	16.34	16.421
20200714 074922	1115.93	15.7	16.34	16.414
20200714 074924	1118.057	15.67	16.35	16.408
20200714 074926	1120.181	15.64	16.35	16.414
20200714 074928	1122.328	15.63	16.35	16.408
20200714 074930	1124.455	15.61	16.35	16.395
20200714 074932	1126.581	15.58	16.35	16.395
20200714 074934	1128.725	15.57	16.36	16.395
20200714 074936	1130.854	15.54	16.36	16.389
20200714 074939	1132.979	15.52	16.36	16.389
20200714 074941	1135.101	15.51	16.36	16.376
20200714 074943	1137.231	15.48	16.36	16.37
20200714 074945	1139.354	15.46	16.37	16.37
20200714 074947	1141.485	15.45	16.37	16.357
20200714 074949	1143.614	15.42	16.37	16.35
20200714 074951	1145.741	15.4	16.37	16.35
20200714 074953	1147.869	15.38	16.37	16.35
20200714 074956	1149.997	15.36	16.37	16.331
20200714 074958	1152.124	15.33	16.37	16.325
20200714 075000	1154.244	15.32	16.37	16.319
20200714 075002	1156.378	15.3	16.37	16.319
20200714 075004	1158.506	15.27	16.37	16.299
20200714 075006	1160.633	15.26	16.37	16.293
20200714 075008	1162.76	15.24	16.37	16.293
20200714 075011	1164.887	15.21	16.37	16.274
20200714 075013	1167.014	15.2	16.37	16.28
20200714 075015	1169.136	15.17	16.37	16.268
20200714 075017	1171.269	15.15	16.37	16.254
20200714 075019	1173.396	15.14	16.36	16.241
20200714 075021	1175.523	15.11	16.36	16.241
20200714 075023	1177.65	15.09	16.36	16.229
20200714 075025	1179.772	15.07	16.36	16.216
20200714 075028	1181.9	15.05	16.36	16.209
20200714 075030	1184.031	15.03	16.35	16.197
20200714 075032	1186.159	15.01	16.35	16.19
20200714 075034	1188.286	14.99	16.35	16.177
20200714 075036	1190.416	14.97	16.35	16.171
20200714 075038	1192.54	14.95	16.34	16.158
20200714 075040	1194.664	14.93	16.34	16.145
20200714 075042	1196.789	14.91	16.34	16.132
20200714 075045	1198.921	14.89	16.33	16.132
20200714 075047	1201.047	14.87	16.33	16.113
20200714 075049	1203.171	14.85	16.33	16.1
20200714 075051	1205.303	14.83	16.32	16.094
20200714 075053	1207.441	14.81	16.32	16.075
20200714 075055	1209.573	14.78	16.31	16.075
20200714 075057	1211.7	14.77	16.31	16.049
20200714 075059	1213.837	14.75	16.31	16.043
20200714 075102	1215.971	14.72	16.3	16.023
20200714 075104	1218.094	14.71	16.29	16.017
20200714 075106	1220.225	14.69	16.29	15.998
20200714 075108	1222.346	14.67	16.28	15.991
20200714 075110	1224.478	14.65	16.28	15.979
20200714 075112	1226.603	14.63	16.27	15.966
20200714 075114	1228.734	14.61	16.27	15.953
20200714 075116	1230.863	14.59	16.26	15.94
20200714 075119	1232.988	14.57	16.26	15.927
20200714 075121	1235.115	14.54	16.25	15.914
20200714 075123	1237.241	14.53	16.24	15.902
20200714 075125	1239.37	14.51	16.24	15.895
20200714 075127	1241.49	14.48	16.23	15.876
20200714 075129	1243.617	14.47	16.23	15.857
20200714 075131	1245.747	14.45	16.22	15.85
20200714 075133	1247.878	14.42	16.21	15.837
20200714 075136	1250.005	14.41	16.21	15.824
20200714 075138	1252.126	14.39	16.21	15.811
20200714 075140	1254.26	14.38	16.2	15.798
20200714 075142	1256.403	14.35	16.19	15.779
20200714 075144	1258.53	14.33	16.18	15.766
20200714 075146	1260.65	14.32	16.17	15.753
20200714 075148	1262.78	14.29	16.17	15.734
20200714 075151	1264.905	14.27	16.16	15.721
20200714 075153	1267.039	14.26	16.15	15.708
20200714 075155	1269.166	14.23	16.14	15.695
20200714 075157	1271.293	14.21	16.14	15.682
20200714 075159	1273.42	14.2	16.13	15.663
20200714 075201	1275.548	14.18	16.12	15.65
20200714 075203	1277.675	14.15	16.12	15.637
20200714 075205	1279.801	14.14	16.11	15.618
20200714 075208	1281.925	14.12	16.09	15.611
20200714 075210	1284.05	14.09	16.09	15.592
20200714 075212	1286.183	14.08	16.08	15.579
20200714 075214	1288.308	14.06	16.07	15.566
20200714 075216	1290.438	14.03	16.07	15.547
