t	T_int	T_ext	p	i	d
10.337	6.8	10.46	1	0	0
12.388	6.78	10.44	1	0	0
14.434	6.77	10.42	1	0	0
16.483	6.76	10.42	1	0	0
18.527	6.74	10.41	1	0	0
20.578	6.73	10.41	1	0	0
22.626	6.71	10.4	1	0	0
24.673	6.7	10.4	1	0	0
26.72	6.68	10.4	1	0	0
28.763	6.67	10.41	1	0	0
30.811	6.66	10.41	1	0	0
32.859	6.64	10.41	1	0	0
34.906	6.63	10.39	1	0	0
36.955	6.62	10.38	1	0	0
39.003	6.6	10.36	1	0	0
41.049	6.59	10.35	1	0	0
43.101	6.58	10.36	1	0	0
45.148	6.57	10.35	1	0	0
47.196	6.55	10.35	1	0	0
49.241	6.53	10.35	1	0	0
51.286	6.53	10.33	1	0	0
53.354	6.51	10.33	1	0	0
55.402	6.5	10.34	1	0	0
57.45	6.49	10.33	1	0	0
59.497	6.47	10.32	1	0	0
61.544	6.46	10.32	1	0	0
63.592	6.44	10.33	1	0	0
65.64	6.43	10.34	1	0	0
67.687	6.42	10.35	1	0	0
69.735	6.4	10.35	1	0	0
71.782	6.39	10.34	1	0	0
73.828	6.38	10.33	1	0	0
75.881	6.37	10.3	1	0	0
77.925	6.35	10.29	1	0	0
79.968	6.34	10.25	1	0	0
82.02	6.33	10.22	1	0	0
84.067	6.31	10.21	1	0	0
86.115	6.3	10.19	1	0	0
88.163	6.28	10.2	1	0	0
90.207	6.27	10.19	1	0	0
92.258	6.26	10.17	1	0	0
94.305	6.24	10.17	1	0	0
96.353	6.23	10.16	1	0	0
98.4	6.21	10.16	1	0	0
100.446	6.2	10.17	1	0	0
102.495	6.19	10.16	1	0	0
104.543	6.17	10.16	1	0	0
106.594	6.16	10.15	1	0	0
108.638	6.15	10.15	1	0	0
110.685	6.13	10.13	1	0	0
112.733	6.12	10.12	1	0	0
114.781	6.1	10.12	1	0	0
116.828	6.1	10.11	1	0	0
118.876	6.08	10.12	1	0	0
120.923	6.06	10.11	1	0	0
122.971	6.05	10.1	1	0	0
125.015	6.04	10.1	1	0	0
127.066	6.03	10.08	1	0	0
129.113	6.01	10.08	1	0	0
131.158	5.99	10.06	1	0	0
133.208	5.99	10.05	1	0	0
135.274	5.97	10.06	1	0	0
137.317	5.96	10.05	1	0	0
139.367	5.94	10.04	1	0	0
141.41	5.93	10.03	1	0	0
143.462	5.92	10.01	1	0	0
145.506	5.9	10.0	1	0	0
159.842	5.81	9.98	0.1	0	0
161.888	5.79	9.95	0.1	0	0
163.937	5.79	9.93	0.1	0	0
165.987	5.78	9.93	0.1	0	0
168.032	5.78	9.92	0.1	0	0
170.08	5.78	9.92	0.1	0	0
172.127	5.8	9.91	0.1	0	0
174.175	5.81	9.91	0.1	0	0
176.219	5.85	9.92	0.1	0	0
178.27	5.88	9.91	0.1	0	0
180.317	5.93	9.91	0.1	0	0
182.365	5.98	9.9	0.1	0	0
184.409	6.01	9.88	0.1	0	0
186.46	6.08	9.88	0.1	0	0
188.508	6.11	9.86	0.1	0	0
190.555	6.17	9.85	0.1	0	0
192.603	6.24	9.83	0.1	0	0
194.65	6.28	9.82	0.1	0	0
196.7	6.35	9.83	0.1	0	0
198.745	6.39	9.82	0.1	0	0
200.793	6.46	9.82	0.1	0	0
202.852	6.53	9.81	0.1	0	0
204.904	6.57	9.8	0.1	0	0
206.951	6.64	9.78	0.1	0	0
208.999	6.67	9.77	0.1	0	0
211.046	6.75	9.77	0.1	0	0
213.092	6.82	9.77	0.1	0	0
215.141	6.86	9.77	0.1	0	0
217.189	6.93	9.77	0.1	0	0
219.236	6.97	9.76	0.1	0	0
221.284	7.04	9.76	0.1	0	0
223.331	7.11	9.75	0.1	0	0
225.38	7.15	9.75	0.1	0	0
227.426	7.22	9.75	0.1	0	0
229.474	7.25	9.75	0.1	0	0
231.52	7.32	9.75	0.1	0	0
233.569	7.4	9.78	0.1	0	0
235.611	7.43	9.8	0.1	0	0
237.664	7.5	9.82	0.1	0	0
239.709	7.54	9.84	0.1	0	0
241.759	7.61	9.85	0.1	0	0
243.804	7.68	9.85	0.1	0	0
245.853	7.72	9.84	0.1	0	0
247.898	7.79	9.84	0.1	0	0
249.949	7.82	9.84	0.1	0	0
251.996	7.89	9.85	0.1	0	0
254.043	7.96	9.85	0.1	0	0
256.094	8.0	9.85	0.1	0	0
258.135	8.07	9.85	0.1	0	0
260.182	8.11	9.85	0.1	0	0
262.229	8.18	9.85	0.1	0	0
264.282	8.25	9.87	0.1	0	0
266.328	8.28	9.9	0.1	0	0
268.371	8.35	9.91	0.1	0	0
270.424	8.39	9.9	0.1	0	0
272.466	8.46	9.9	0.1	0	0
274.518	8.53	9.89	0.1	0	0
276.566	8.57	9.88	0.1	0	0
278.611	8.63	9.87	0.1	0	0
280.657	8.67	9.89	0.1	0	0
282.705	8.74	9.9	0.1	0	0
284.77	8.81	9.93	0.1	0	0
286.819	8.84	9.96	0.1	0	0
288.866	8.91	9.97	0.1	0	0
290.91	8.94	9.98	0.1	0	0
292.958	9.0	9.98	0.1	0	0
295.005	9.05	9.98	0.1	0	0
297.052	9.07	9.99	0.1	0	0
299.1	9.09	9.99	0.1	0	0
301.148	9.1	10.0	0.1	0	0
303.195	9.11	10.0	0.1	0	0
305.243	9.1	10.02	0.1	0	0
307.295	9.1	10.04	0.1	0	0
309.339	9.09	10.04	0.1	0	0
311.39	9.08	10.07	0.1	0	0
313.438	9.06	10.08	0.1	0	0
315.487	9.04	10.09	0.1	0	0
317.529	9.03	10.1	0.1	0	0
319.579	9.01	10.09	0.1	0	0
321.628	9.0	10.11	0.1	0	0
323.673	8.98	10.11	0.1	0	0
325.719	8.96	10.15	0.1	0	0
327.77	8.95	10.18	0.1	0	0
329.818	8.93	10.18	0.1	0	0
331.866	8.92	10.2	0.1	0	0
333.909	8.9	10.2	0.1	0	0
335.961	8.88	10.22	0.1	0	0
338.006	8.87	10.23	0.1	0	0
340.054	8.85	10.23	0.1	0	0
342.102	8.84	10.24	0.1	0	0
344.147	8.82	10.24	0.1	0	0
346.201	8.8	10.26	0.1	0	0
348.244	8.79	10.28	0.1	0	0
350.29	8.77	10.29	0.1	0	0
352.341	8.76	10.3	0.1	0	0
354.385	8.74	10.3	0.1	0	0
356.435	8.72	10.31	0.1	0	0
358.483	8.71	10.31	0.1	0	0
360.543	8.69	10.31	0.1	0	0
362.594	8.68	10.33	0.1	0	0
364.639	8.66	10.33	0.1	0	0
366.689	8.64	10.35	0.1	0	0
368.737	8.63	10.37	0.1	0	0
370.784	8.61	10.37	0.1	0	0
372.833	8.61	10.38	0.1	0	0
374.883	8.59	10.4	0.1	0	0
376.927	8.57	10.42	0.1	0	0
378.971	8.56	10.43	0.1	0	0
381.017	8.54	10.44	0.1	0	0
383.068	8.53	10.46	0.1	0	0
385.116	8.51	10.47	0.1	0	0
387.16	8.49	10.47	0.1	0	0
389.212	8.48	10.47	0.1	0	0
391.259	8.46	10.47	0.1	0	0
393.307	8.45	10.47	0.1	0	0
395.354	8.43	10.47	0.1	0	0
397.401	8.41	10.48	0.1	0	0
399.45	8.4	10.49	0.1	0	0
401.495	8.38	10.49	0.1	0	0
403.54	8.37	10.5	0.1	0	0
405.593	8.35	10.5	0.1	0	0
407.636	8.33	10.51	0.1	0	0
409.683	8.32	10.53	0.1	0	0
411.732	8.3	10.54	0.1	0	0
413.783	8.29	10.56	0.1	0	0
415.83	8.27	10.56	0.1	0	0
417.878	8.25	10.57	0.1	0	0
419.925	8.24	10.58	0.1	0	0
421.973	8.22	10.58	0.1	0	0
424.02	8.21	10.58	0.1	0	0
426.065	8.19	10.58	0.1	0	0
428.115	8.17	10.58	0.1	0	0
430.162	8.16	10.58	0.1	0	0
432.206	8.14	10.58	0.1	0	0
434.258	8.13	10.58	0.1	0	0
436.302	8.11	10.57	0.1	0	0
438.351	8.09	10.56	0.1	0	0
440.398	8.08	10.56	0.1	0	0
442.462	8.06	10.56	0.1	0	0
444.509	8.05	10.56	0.1	0	0
446.554	8.03	10.56	0.1	0	0
448.605	8.01	10.56	0.1	0	0
450.649	8.0	10.56	0.1	0	0
452.697	7.98	10.56	0.1	0	0
454.748	7.97	10.57	0.1	0	0
456.794	7.95	10.57	0.1	0	0
458.84	7.93	10.58	0.1	0	0
460.892	7.92	10.59	0.1	0	0
462.937	7.9	10.58	0.1	0	0
464.984	7.89	10.59	0.1	0	0
467.029	7.88	10.6	0.1	0	0
469.082	7.86	10.61	0.1	0	0
471.127	7.85	10.62	0.1	0	0
473.174	7.83	10.63	0.1	0	0
475.22	7.82	10.63	0.1	0	0
477.272	7.8	10.63	0.1	0	0
479.316	7.78	10.63	0.1	0	0
481.366	7.77	10.62	0.1	0	0
483.41	7.75	10.61	0.1	0	0
485.461	7.74	10.61	0.1	0	0
487.509	7.72	10.61	0.1	0	0
489.552	7.7	10.62	0.1	0	0
491.604	7.69	10.63	0.1	0	0
493.648	7.67	10.64	0.1	0	0
495.701	7.66	10.65	0.1	0	0
497.745	7.65	10.65	0.1	0	0
499.791	7.63	10.65	0.1	0	0
501.84	7.62	10.66	0.1	0	0
503.884	7.6	10.65	0.1	0	0
505.937	7.59	10.65	0.1	0	0
507.984	7.57	10.66	0.1	0	0
510.032	7.55	10.66	0.1	0	0
512.075	7.55	10.66	0.1	0	0
514.123	7.53	10.66	0.1	0	0
516.175	7.52	10.65	0.1	0	0
518.218	7.5	10.64	0.1	0	0
520.27	7.48	10.64	0.1	0	0
522.317	7.47	10.65	0.1	0	0
524.378	7.45	10.65	0.1	0	0
526.424	7.44	10.66	0.1	0	0
528.475	7.42	10.67	0.1	0	0
530.52	7.41	10.68	0.1	0	0
532.571	7.4	10.68	0.1	0	0
534.616	7.38	10.68	0.1	0	0
536.664	7.37	10.65	0.1	0	0
538.714	7.35	10.64	0.1	0	0
