	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
3467	2/25/2020	4:56:09.293316	PM	0:00:00.034027	7,075	7,075		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
3468	2/25/2020	4:56:09.294356	PM	0:00:00.001040	7,076	7,076		Data	4c	76	114	01001100	DCE	L	0	0	0	0	0	0	0	0.0	0.0
3469	2/25/2020	4:56:09.295403	PM	0:00:00.001047	7,077	7,077		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
3470	2/25/2020	4:56:09.296443	PM	0:00:00.001040	7,078	7,078		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
3471	2/25/2020	4:56:09.297483	PM	0:00:00.001040	7,079	7,079		Data	32	50	62	00110010	DCE	2	0	0	0	0	0	0	0	0.0	0.0
3472	2/25/2020	4:56:09.299153	PM	0:00:00.001670	7,080	7,080		Data	c2	194	302	11000010	DCE	B	0	0	0	0	0	0	0	0.0	0.0
3473	2/25/2020	4:56:09.300193	PM	0:00:00.001040	7,081	7,081		Data	b6	182	266	10110110	DCE	6	0	0	0	0	0	0	0	0.0	0.0
3474	2/25/2020	4:56:09.301233	PM	0:00:00.001040	7,082	7,082		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
3475	2/25/2020	4:56:09.302273	PM	0:00:00.001040	7,083	7,083		Data	97	151	227	10010111	DCE	.	0	0	0	0	0	0	0	0.0	0.0
3476	2/25/2020	4:56:09.303320	PM	0:00:00.001047	7,084	7,084		Data	5b	91	133	01011011	DCE	[	0	0	0	0	0	0	0	0.0	0.0
3477	2/25/2020	4:56:09.308565	PM	0:00:00.005245	7,085	7,085		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
