	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
2730	2/25/2020	4:56:02.343237	PM	0:00:00.033917	5,568	5,568		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
2731	2/25/2020	4:56:02.344283	PM	0:00:00.001046	5,569	5,569		Data	4c	76	114	01001100	DCE	L	0	0	0	0	0	0	0	0.0	0.0
2732	2/25/2020	4:56:02.345323	PM	0:00:00.001040	5,570	5,570		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
2733	2/25/2020	4:56:02.346363	PM	0:00:00.001040	5,571	5,571		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
2734	2/25/2020	4:56:02.347403	PM	0:00:00.001040	5,572	5,572		Data	34	52	64	00110100	DCE	4	0	0	0	0	0	0	0	0.0	0.0
2735	2/25/2020	4:56:02.349074	PM	0:00:00.001671	5,573	5,573		Data	c1	193	301	11000001	DCE	A	0	0	0	0	0	0	0	0.0	0.0
2736	2/25/2020	4:56:02.350114	PM	0:00:00.001040	5,574	5,574		Data	c4	196	304	11000100	DCE	D	0	0	0	0	0	0	0	0.0	0.0
2737	2/25/2020	4:56:02.351154	PM	0:00:00.001040	5,575	5,575		Data	43	67	103	01000011	DCE	C	0	0	0	0	0	0	0	0.0	0.0
2738	2/25/2020	4:56:02.352200	PM	0:00:00.001046	5,576	5,576		Data	97	151	227	10010111	DCE	.	0	0	0	0	0	0	0	0.0	0.0
2739	2/25/2020	4:56:02.353240	PM	0:00:00.001040	5,577	5,577		Data	29	41	51	00101001	DCE	)	0	0	0	0	0	0	0	0.0	0.0
2740	2/25/2020	4:56:02.358486	PM	0:00:00.005246	5,578	5,578		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
