	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
981	2/25/2020	4:59:26.459589	PM	0:00:00.034236	981	981		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
982	2/25/2020	4:59:26.460628	PM	0:00:00.001039	982	982		Data	4c	76	114	01001100	DCE	L	0	0	0	0	0	0	0	0.0	0.0
983	2/25/2020	4:59:26.461668	PM	0:00:00.001040	983	983		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
984	2/25/2020	4:59:26.462715	PM	0:00:00.001047	984	984		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
985	2/25/2020	4:59:26.463755	PM	0:00:00.001040	985	985		Data	37	55	67	00110111	DCE	7	0	0	0	0	0	0	0	0.0	0.0
986	2/25/2020	4:59:26.465107	PM	0:00:00.001352	986	986		Data	b9	185	271	10111001	DCE	9	0	0	0	0	0	0	0	0.0	0.0
987	2/25/2020	4:59:26.466147	PM	0:00:00.001040	987	987		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
988	2/25/2020	4:59:26.467193	PM	0:00:00.001046	988	988		Data	45	69	105	01000101	DCE	E	0	0	0	0	0	0	0	0.0	0.0
989	2/25/2020	4:59:26.468233	PM	0:00:00.001040	989	989		Data	97	151	227	10010111	DCE	.	0	0	0	0	0	0	0	0.0	0.0
990	2/25/2020	4:59:26.469273	PM	0:00:00.001040	990	990		Data	a1	161	241	10100001	DCE	!	0	0	0	0	0	0	0	0.0	0.0
991	2/25/2020	4:59:26.474512	PM	0:00:00.005239	991	991		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
