	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
707	2/24/2020	5:41:42.485747	PM	0:00:00.005239	707	707		Data	02	2	2	00000010	DTE	.	1	1	1	1	0	0	0	0.0	0.0
708	2/24/2020	5:41:42.486794	PM	0:00:00.001047	708	708		Data	52	82	122	01010010	DTE	R	1	1	1	1	0	0	0	0.0	0.0
709	2/24/2020	5:41:42.487834	PM	0:00:00.001040	709	709		Data	83	131	203	10000011	DTE	.	1	1	1	1	0	0	0	0.0	0.0
710	2/24/2020	5:41:42.488874	PM	0:00:00.001040	710	710		Data	51	81	121	01010001	DTE	Q	1	1	1	1	0	0	0	0.0	0.0
711	2/24/2020	5:41:42.492280	PM	0:00:00.003406	711	711		Data	86	134	206	10000110	DCE	.	1	1	1	1	0	0	0	0.0	0.0
