	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
307	2/24/2020	5:41:32.036100	PM	0:00:00.005232	307	307		Data	02	2	2	00000010	DTE	.	1	1	1	1	0	0	0	0.0	0.0
308	2/24/2020	5:41:32.037147	PM	0:00:00.001047	308	308		Data	52	82	122	01010010	DTE	R	1	1	1	1	0	0	0	0.0	0.0
309	2/24/2020	5:41:32.038187	PM	0:00:00.001040	309	309		Data	83	131	203	10000011	DTE	.	1	1	1	1	0	0	0	0.0	0.0
310	2/24/2020	5:41:32.039227	PM	0:00:00.001040	310	310		Data	51	81	121	01010001	DTE	Q	1	1	1	1	0	0	0	0.0	0.0
311	2/24/2020	5:41:32.042639	PM	0:00:00.003412	311	311		Data	86	134	206	10000110	DCE	.	1	1	1	1	0	0	0	0.0	0.0
