	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
625	2/24/2020	4:35:58.127875	PM	0:00:00.009341	625	625		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
626	2/24/2020	4:35:58.128915	PM	0:00:00.001040	626	626		Data	4c	76	114	01001100	DCE	L	0	0	0	0	0	0	0	0.0	0.0
627	2/24/2020	4:35:58.129961	PM	0:00:00.001046	627	627		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
628	2/24/2020	4:35:58.131001	PM	0:00:00.001040	628	628		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
629	2/24/2020	4:35:58.132041	PM	0:00:00.001040	629	629		Data	c1	193	301	11000001	DCE	A	0	0	0	0	0	0	0	0.0	0.0
630	2/24/2020	4:35:58.133816	PM	0:00:00.001775	630	630		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
631	2/24/2020	4:35:58.134856	PM	0:00:00.001040	631	631		Data	b6	182	266	10110110	DCE	6	0	0	0	0	0	0	0	0.0	0.0
632	2/24/2020	4:35:58.135896	PM	0:00:00.001040	632	632		Data	b5	181	265	10110101	DCE	5	0	0	0	0	0	0	0	0.0	0.0
633	2/24/2020	4:35:58.136936	PM	0:00:00.001040	633	633		Data	97	151	227	10010111	DCE	.	0	0	0	0	0	0	0	0.0	0.0
634	2/24/2020	4:35:58.137982	PM	0:00:00.001046	634	634		Data	29	41	51	00101001	DCE	)	0	0	0	0	0	0	0	0.0	0.0
635	2/24/2020	4:35:58.143221	PM	0:00:00.005239	635	635		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
