	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
659	2/24/2020	5:41:41.418987	PM	0:00:00.003335	659	659		Data	02	2	2	00000010	DCE	.	1	1	1	1	0	0	0	0.0	0.0
660	2/24/2020	5:41:41.420027	PM	0:00:00.001040	660	660		Data	b0	176	260	10110000	DCE	0	1	1	1	1	0	0	0	0.0	0.0
661	2/24/2020	5:41:41.421067	PM	0:00:00.001040	661	661		Data	83	131	203	10000011	DCE	.	1	1	1	1	0	0	0	0.0	0.0
662	2/24/2020	5:41:41.422107	PM	0:00:00.001040	662	662		Data	b3	179	263	10110011	DCE	3	1	1	1	1	0	0	0	0.0	0.0
663	2/24/2020	5:41:41.427365	PM	0:00:00.005258	663	663		Data	86	134	206	10000110	DTE	.	1	1	1	1	0	0	0	0.0	0.0
